county_name,longitude,latitude,county
,21.7,57.6,
,21.7,57.9,
,21.7,58.2,
,21.7,58.49999999999999,
,21.7,58.79999999999999,
,21.7,59.09999999999999,
,21.7,59.399999999999984,
,21.7,59.69999999999998,
,22.2,57.6,
,22.2,57.9,
Saaremaa,22.2,58.2,10
Saaremaa,22.2,58.49999999999999,10
,22.2,58.79999999999999,
,22.2,59.09999999999999,
,22.2,59.399999999999984,
,22.2,59.69999999999998,
,22.7,57.6,
,22.7,57.9,
,22.7,58.2,
Saaremaa,22.7,58.49999999999999,10
Hiiumaa,22.7,58.79999999999999,1
,22.7,59.09999999999999,
,22.7,59.399999999999984,
,22.7,59.69999999999998,
,23.2,57.6,
,23.2,57.9,
,23.2,58.2,
Saaremaa,23.2,58.49999999999999,10
,23.2,58.79999999999999,
,23.2,59.09999999999999,
,23.2,59.399999999999984,
,23.2,59.69999999999998,
,23.7,57.6,
,23.7,57.9,
,23.7,58.2,
Pärnumaa,23.7,58.49999999999999,7
Läänemaa,23.7,58.79999999999999,6
Läänemaa,23.7,59.09999999999999,6
,23.7,59.399999999999984,
,23.7,59.69999999999998,
,24.2,57.6,
,24.2,57.9,
,24.2,58.2,
Pärnumaa,24.2,58.49999999999999,7
Raplamaa,24.2,58.79999999999999,9
Harjumaa,24.2,59.09999999999999,0
Harjumaa,24.2,59.399999999999984,0
,24.2,59.69999999999998,
,24.7,57.6,
,24.7,57.9,
Pärnumaa,24.7,58.2,7
Pärnumaa,24.7,58.49999999999999,7
Raplamaa,24.7,58.79999999999999,9
Raplamaa,24.7,59.09999999999999,9
Harjumaa,24.7,59.399999999999984,0
,24.7,59.69999999999998,
,25.2,57.6,
,25.2,57.9,
Pärnumaa,25.2,58.2,7
Viljandimaa,25.2,58.49999999999999,14
Järvamaa,25.2,58.79999999999999,3
Harjumaa,25.2,59.09999999999999,0
Harjumaa,25.2,59.399999999999984,0
,25.2,59.69999999999998,
,25.7,57.6,
,25.7,57.9,
Viljandimaa,25.7,58.2,14
Viljandimaa,25.7,58.49999999999999,14
Järvamaa,25.7,58.79999999999999,3
Järvamaa,25.7,59.09999999999999,3
Harjumaa,25.7,59.399999999999984,0
,25.7,59.69999999999998,
,26.2,57.6,
Valgamaa,26.2,57.9,13
Tartumaa,26.2,58.2,11
Jõgevamaa,26.2,58.49999999999999,4
Jõgevamaa,26.2,58.79999999999999,4
Lääne-Virumaa,26.2,59.09999999999999,5
Lääne-Virumaa,26.2,59.399999999999984,5
,26.2,59.69999999999998,
Võrumaa,26.7,57.6,15
Võrumaa,26.7,57.9,15
Tartumaa,26.7,58.2,11
Tartumaa,26.7,58.49999999999999,11
Jõgevamaa,26.7,58.79999999999999,4
Lääne-Virumaa,26.7,59.09999999999999,5
Lääne-Virumaa,26.7,59.399999999999984,5
,26.7,59.69999999999998,
Võrumaa,27.2,57.6,15
Võrumaa,27.2,57.9,15
Põlvamaa,27.2,58.2,8
Tartumaa,27.2,58.49999999999999,11
,27.2,58.79999999999999,
Ida-Virumaa,27.2,59.09999999999999,2
Ida-Virumaa,27.2,59.399999999999984,2
,27.2,59.69999999999998,
,27.7,57.6,
Võrumaa,27.7,57.9,15
,27.7,58.2,
,27.7,58.49999999999999,
,27.7,58.79999999999999,
Ida-Virumaa,27.7,59.09999999999999,2
Ida-Virumaa,27.7,59.399999999999984,2
,27.7,59.69999999999998,
,28.2,57.6,
,28.2,57.9,
,28.2,58.2,
,28.2,58.49999999999999,
,28.2,58.79999999999999,
,28.2,59.09999999999999,
,28.2,59.399999999999984,
,28.2,59.69999999999998,
